geração,Id_Barra,Nome_Barra,Tamanho Geometrico (cm),Tamanho de Corte (cm),Fitness
1,1,AB,11.7135,13.7135,0.0
1,2,BC,9.5802,13.5802,0.0
1,3,CD,9.5802,13.5802,0.0
1,4,DE,11.7135,13.7135,0.0
1,5,FG,11.7166,15.7166,0.0
1,6,GH,9.597,13.597,0.0
1,7,HI,9.597,13.597,0.0
1,8,IJ,11.7166,15.7166,0.0
1,9,AF,6.3814,8.3814,0.0
1,10,GB,6.6481,10.6481,0.0
1,11,HC,6.0797,10.0797,0.0
1,12,ID,6.6481,10.6481,0.0
1,13,EJ,6.3814,8.3814,0.0
1,14,FB,13.339,17.339,0.0
1,15,GC,11.6609,15.6609,0.0
1,16,IC,11.6609,15.6609,0.0
1,17,JD,13.339,17.339,0.0
2,1,AB,11.7251,13.7251,0.0
2,2,BC,9.6931,13.6931,0.0
2,3,CD,9.6931,13.6931,0.0
2,4,DE,11.7251,13.7251,0.0
2,5,FG,11.8508,15.8508,0.0
2,6,GH,10.1199,14.1199,0.0
2,7,HI,10.1199,14.1199,0.0
2,8,IJ,11.8508,15.8508,0.0
2,9,AF,7.6295,9.6295,0.0
2,10,GB,5.908,9.908,0.0
2,11,HC,3.0,7.0,0.0
2,12,ID,5.908,9.908,0.0
2,13,EJ,7.6295,9.6295,0.0
2,14,FB,13.9889,17.9889,0.0
2,15,GC,11.3516,15.3516,0.0
2,16,IC,11.3516,15.3516,0.0
2,17,JD,13.9889,17.9889,0.0
3,1,AB,11.429,13.429,0.0
3,2,BC,10.0,14.0,0.0
3,3,CD,10.0,14.0,0.0
3,4,DE,11.429,13.429,0.0
3,5,FG,11.4334,15.4334,0.0
3,6,GH,10.0618,14.0618,0.0
3,7,HI,10.0618,14.0618,0.0
3,8,IJ,11.4334,15.4334,0.0
3,9,AF,5.2953,7.2953,0.0
3,10,GB,4.975,8.975,0.0
3,11,HC,6.089,10.089,0.0
3,12,ID,4.975,8.975,0.0
3,13,EJ,5.2953,7.2953,0.0
3,14,FB,12.5961,16.5961,0.0
3,15,GC,11.1692,15.1692,0.0
3,16,IC,11.1692,15.1692,0.0
3,17,JD,12.5961,16.5961,0.0
4,1,AB,11.1796,13.1796,0.0
4,2,BC,10.0,14.0,0.0
4,3,CD,10.0,14.0,0.0
4,4,DE,11.1796,13.1796,0.0
4,5,FG,11.1921,15.1921,0.0
4,6,GH,10.1709,14.1709,0.0
4,7,HI,10.1709,14.1709,0.0
4,8,IJ,11.1921,15.1921,0.0
4,9,AF,6.5211,8.5211,0.0
4,10,GB,5.9925,9.9925,0.0
4,11,HC,4.1359,8.1359,0.0
4,12,ID,5.9925,9.9925,0.0
4,13,EJ,6.5211,8.5211,0.0
4,14,FB,12.9425,16.9425,0.0
4,15,GC,11.6581,15.6581,0.0
4,16,IC,11.6581,15.6581,0.0
4,17,JD,12.9425,16.9425,0.0
5,1,AB,11.8853,13.8853,0.0
5,2,BC,9.8167,13.8167,0.0
5,3,CD,9.8167,13.8167,0.0
5,4,DE,11.8853,13.8853,0.0
5,5,FG,11.8875,15.8875,0.0
5,6,GH,9.8383,13.8383,0.0
5,7,HI,9.8383,13.8383,0.0
5,8,IJ,11.8875,15.8875,0.0
5,9,AF,6.0613,8.0613,0.0
5,10,GB,5.8353,9.8353,0.0
5,11,HC,5.1827,9.1827,0.0
5,12,ID,5.8353,9.8353,0.0
5,13,EJ,6.0613,8.0613,0.0
5,14,FB,13.3417,17.3417,0.0
5,15,GC,11.4201,15.4201,0.0
5,16,IC,11.4201,15.4201,0.0
5,17,JD,13.3417,17.3417,0.0
6,1,AB,11.6504,13.6504,0.0
6,2,BC,9.8093,13.8093,0.0
6,3,CD,9.8093,13.8093,0.0
6,4,DE,11.6504,13.6504,0.0
6,5,FG,11.663,15.663,0.0
6,6,GH,9.8765,13.8765,0.0
6,7,HI,9.8765,13.8765,0.0
6,8,IJ,11.663,15.663,0.0
6,9,AF,6.4791,8.4791,0.0
6,10,GB,5.938,9.938,0.0
6,11,HC,4.7876,8.7876,0.0
6,12,ID,5.938,9.938,0.0
6,13,EJ,6.4791,8.4791,0.0
6,14,FB,13.3308,17.3308,0.0
6,15,GC,11.4665,15.4665,0.0
6,16,IC,11.4665,15.4665,0.0
6,17,JD,13.3308,17.3308,0.0
7,1,AB,11.6508,13.6508,0.0
7,2,BC,9.8052,13.8052,0.0
7,3,CD,9.8052,13.8052,0.0
7,4,DE,11.6508,13.6508,0.0
7,5,FG,11.651,15.651,0.0
7,6,GH,9.9461,13.9461,0.0
7,7,HI,9.9461,13.9461,0.0
7,8,IJ,11.651,15.651,0.0
7,9,AF,6.094,8.094,0.0
7,10,GB,6.1623,10.1623,0.0
7,11,HC,4.4939,8.4939,0.0
7,12,ID,6.1623,10.1623,0.0
7,13,EJ,6.094,8.094,0.0
7,14,FB,13.1484,17.1484,0.0
7,15,GC,11.5808,15.5808,0.0
7,16,IC,11.5808,15.5808,0.0
7,17,JD,13.1484,17.1484,0.0
8,1,AB,11.6508,13.6508,0.0
8,2,BC,9.8052,13.8052,0.0
8,3,CD,9.8052,13.8052,0.0
8,4,DE,11.6508,13.6508,0.0
8,5,FG,11.651,15.651,0.0
8,6,GH,9.9461,13.9461,0.0
8,7,HI,9.9461,13.9461,0.0
8,8,IJ,11.651,15.651,0.0
8,9,AF,6.094,8.094,0.0
8,10,GB,6.1623,10.1623,0.0
8,11,HC,4.4939,8.4939,0.0
8,12,ID,6.1623,10.1623,0.0
8,13,EJ,6.094,8.094,0.0
8,14,FB,13.1484,17.1484,0.0
8,15,GC,11.5808,15.5808,0.0
8,16,IC,11.5808,15.5808,0.0
8,17,JD,13.1484,17.1484,0.0
9,1,AB,11.6829,13.6829,0.0
9,2,BC,9.7881,13.7881,0.0
9,3,CD,9.7881,13.7881,0.0
9,4,DE,11.6829,13.6829,0.0
9,5,FG,11.6902,15.6902,0.0
9,6,GH,9.8575,13.8575,0.0
9,7,HI,9.8575,13.8575,0.0
9,8,IJ,11.6902,15.6902,0.0
9,9,AF,6.3091,8.3091,0.0
9,10,GB,5.8956,9.8956,0.0
9,11,HC,4.7278,8.7278,0.0
9,12,ID,5.8956,9.8956,0.0
9,13,EJ,6.3091,8.3091,0.0
9,14,FB,13.2776,17.2776,0.0
9,15,GC,11.4265,15.4265,0.0
9,16,IC,11.4265,15.4265,0.0
9,17,JD,13.2776,17.2776,0.0
10,1,AB,11.6829,13.6829,0.0
10,2,BC,9.7881,13.7881,0.0
10,3,CD,9.7881,13.7881,0.0
10,4,DE,11.6829,13.6829,0.0
10,5,FG,11.6902,15.6902,0.0
10,6,GH,9.8575,13.8575,0.0
10,7,HI,9.8575,13.8575,0.0
10,8,IJ,11.6902,15.6902,0.0
10,9,AF,6.3091,8.3091,0.0
10,10,GB,5.8956,9.8956,0.0
10,11,HC,4.7278,8.7278,0.0
10,12,ID,5.8956,9.8956,0.0
10,13,EJ,6.3091,8.3091,0.0
10,14,FB,13.2776,17.2776,0.0
10,15,GC,11.4265,15.4265,0.0
10,16,IC,11.4265,15.4265,0.0
10,17,JD,13.2776,17.2776,0.0
11,1,AB,12.0,14.0,0.0
11,2,BC,9.8742,13.8742,0.0
11,3,CD,9.8742,13.8742,0.0
11,4,DE,12.0,14.0,0.0
11,5,FG,12.0207,16.0207,0.0
11,6,GH,9.9636,13.9636,0.0
11,7,HI,9.9636,13.9636,0.0
11,8,IJ,12.0207,16.0207,0.0
11,9,AF,5.4568,7.4568,0.0
11,10,GB,6.1611,10.1611,0.0
11,11,HC,4.8292,8.8292,0.0
11,12,ID,6.1611,10.1611,0.0
11,13,EJ,5.4568,7.4568,0.0
11,14,FB,13.1824,17.1824,0.0
11,15,GC,11.6387,15.6387,0.0
11,16,IC,11.6387,15.6387,0.0
11,17,JD,13.1824,17.1824,0.0
12,1,AB,11.9694,13.9694,0.117
12,2,BC,9.7857,13.7857,0.117
12,3,CD,9.7857,13.7857,0.117
12,4,DE,11.9694,13.9694,0.117
12,5,FG,11.9817,15.9817,0.117
12,6,GH,9.8468,13.8468,0.117
12,7,HI,9.8468,13.8468,0.117
12,8,IJ,11.9817,15.9817,0.117
12,9,AF,5.6395,7.6395,0.117
12,10,GB,6.1824,10.1824,0.117
12,11,HC,5.0875,9.0875,0.117
12,12,ID,6.1824,10.1824,0.117
12,13,EJ,5.6395,7.6395,0.117
12,14,FB,13.2314,17.2314,0.117
12,15,GC,11.5751,15.5751,0.117
12,16,IC,11.5751,15.5751,0.117
12,17,JD,13.2314,17.2314,0.117
13,1,AB,11.8273,13.8273,0.1439
13,2,BC,9.7918,13.7918,0.1439
13,3,CD,9.7918,13.7918,0.1439
13,4,DE,11.8273,13.8273,0.1439
13,5,FG,11.8304,15.8304,0.1439
13,6,GH,9.8159,13.8159,0.1439
13,7,HI,9.8159,13.8159,0.1439
13,8,IJ,11.8304,15.8304,0.1439
13,9,AF,5.4784,7.4784,0.1439
13,10,GB,5.7502,9.7502,0.1439
13,11,HC,5.0628,9.0628,0.1439
13,12,ID,5.7502,9.7502,0.1439
13,13,EJ,5.4784,7.4784,0.1439
13,14,FB,13.0345,17.0345,0.1439
13,15,GC,11.3554,15.3554,0.1439
13,16,IC,11.3554,15.3554,0.1439
13,17,JD,13.0345,17.0345,0.1439
14,1,AB,11.8273,13.8273,0.1439
14,2,BC,9.7918,13.7918,0.1439
14,3,CD,9.7918,13.7918,0.1439
14,4,DE,11.8273,13.8273,0.1439
14,5,FG,11.8304,15.8304,0.1439
14,6,GH,9.8159,13.8159,0.1439
14,7,HI,9.8159,13.8159,0.1439
14,8,IJ,11.8304,15.8304,0.1439
14,9,AF,5.4784,7.4784,0.1439
14,10,GB,5.7502,9.7502,0.1439
14,11,HC,5.0628,9.0628,0.1439
14,12,ID,5.7502,9.7502,0.1439
14,13,EJ,5.4784,7.4784,0.1439
14,14,FB,13.0345,17.0345,0.1439
14,15,GC,11.3554,15.3554,0.1439
14,16,IC,11.3554,15.3554,0.1439
14,17,JD,13.0345,17.0345,0.1439
15,1,AB,11.8273,13.8273,0.1439
15,2,BC,9.7918,13.7918,0.1439
15,3,CD,9.7918,13.7918,0.1439
15,4,DE,11.8273,13.8273,0.1439
15,5,FG,11.8304,15.8304,0.1439
15,6,GH,9.8159,13.8159,0.1439
15,7,HI,9.8159,13.8159,0.1439
15,8,IJ,11.8304,15.8304,0.1439
15,9,AF,5.4784,7.4784,0.1439
15,10,GB,5.7502,9.7502,0.1439
15,11,HC,5.0628,9.0628,0.1439
15,12,ID,5.7502,9.7502,0.1439
15,13,EJ,5.4784,7.4784,0.1439
15,14,FB,13.0345,17.0345,0.1439
15,15,GC,11.3554,15.3554,0.1439
15,16,IC,11.3554,15.3554,0.1439
15,17,JD,13.0345,17.0345,0.1439
16,1,AB,11.8092,13.8092,0.1596
16,2,BC,9.8818,13.8818,0.1596
16,3,CD,9.8818,13.8818,0.1596
16,4,DE,11.8092,13.8092,0.1596
16,5,FG,11.8155,15.8155,0.1596
16,6,GH,9.8967,13.8967,0.1596
16,7,HI,9.8967,13.8967,0.1596
16,8,IJ,11.8155,15.8155,0.1596
16,9,AF,5.3764,7.3764,0.1596
16,10,GB,5.7633,9.7633,0.1596
16,11,HC,5.2204,9.2204,0.1596
16,12,ID,5.7633,9.7633,0.1596
16,13,EJ,5.3764,7.3764,0.1596
16,14,FB,12.9755,16.9755,0.1596
16,15,GC,11.4397,15.4397,0.1596
16,16,IC,11.4397,15.4397,0.1596
16,17,JD,12.9755,16.9755,0.1596
17,1,AB,12.0,14.0,0.1628
17,2,BC,9.9746,13.9746,0.1628
17,3,CD,9.9746,13.9746,0.1628
17,4,DE,12.0,14.0,0.1628
17,5,FG,12.0018,16.0018,0.1628
17,6,GH,9.9803,13.9803,0.1628
17,7,HI,9.9803,13.9803,0.1628
17,8,IJ,12.0018,16.0018,0.1628
17,9,AF,5.4745,7.4745,0.1628
17,10,GB,5.6834,9.6834,0.1628
17,11,HC,5.347,9.347,0.1628
17,12,ID,5.6834,9.6834,0.1628
17,13,EJ,5.4745,7.4745,0.1628
17,14,FB,13.1898,17.1898,0.1628
17,15,GC,11.4801,15.4801,0.1628
17,16,IC,11.4801,15.4801,0.1628
17,17,JD,13.1898,17.1898,0.1628
18,1,AB,12.0,14.0,0.1628
18,2,BC,9.9746,13.9746,0.1628
18,3,CD,9.9746,13.9746,0.1628
18,4,DE,12.0,14.0,0.1628
18,5,FG,12.0018,16.0018,0.1628
18,6,GH,9.9803,13.9803,0.1628
18,7,HI,9.9803,13.9803,0.1628
18,8,IJ,12.0018,16.0018,0.1628
18,9,AF,5.4745,7.4745,0.1628
18,10,GB,5.6834,9.6834,0.1628
18,11,HC,5.347,9.347,0.1628
18,12,ID,5.6834,9.6834,0.1628
18,13,EJ,5.4745,7.4745,0.1628
18,14,FB,13.1898,17.1898,0.1628
18,15,GC,11.4801,15.4801,0.1628
18,16,IC,11.4801,15.4801,0.1628
18,17,JD,13.1898,17.1898,0.1628
19,1,AB,12.0,14.0,0.1628
19,2,BC,9.9746,13.9746,0.1628
19,3,CD,9.9746,13.9746,0.1628
19,4,DE,12.0,14.0,0.1628
19,5,FG,12.0018,16.0018,0.1628
19,6,GH,9.9803,13.9803,0.1628
19,7,HI,9.9803,13.9803,0.1628
19,8,IJ,12.0018,16.0018,0.1628
19,9,AF,5.4745,7.4745,0.1628
19,10,GB,5.6834,9.6834,0.1628
19,11,HC,5.347,9.347,0.1628
19,12,ID,5.6834,9.6834,0.1628
19,13,EJ,5.4745,7.4745,0.1628
19,14,FB,13.1898,17.1898,0.1628
19,15,GC,11.4801,15.4801,0.1628
19,16,IC,11.4801,15.4801,0.1628
19,17,JD,13.1898,17.1898,0.1628
20,1,AB,11.794,13.794,0.1661
20,2,BC,9.8936,13.8936,0.1661
20,3,CD,9.8936,13.8936,0.1661
20,4,DE,11.794,13.794,0.1661
20,5,FG,11.8041,15.8041,0.1661
20,6,GH,9.9244,13.9244,0.1661
20,7,HI,9.9244,13.9244,0.1661
20,8,IJ,11.8041,15.8041,0.1661
20,9,AF,5.4506,7.4506,0.1661
20,10,GB,5.9404,9.9404,0.1661
20,11,HC,5.159,9.159,0.1661
20,12,ID,5.9404,9.9404,0.1661
20,13,EJ,5.4506,7.4506,0.1661
20,14,FB,12.9926,16.9926,0.1661
20,15,GC,11.54,15.54,0.1661
20,16,IC,11.54,15.54,0.1661
20,17,JD,12.9926,16.9926,0.1661
21,1,AB,12.0,14.0,0.1916
21,2,BC,9.5775,13.5775,0.1916
21,3,CD,9.5775,13.5775,0.1916
21,4,DE,12.0,14.0,0.1916
21,5,FG,12.0164,16.0164,0.1916
21,6,GH,9.5784,13.5784,0.1916
21,7,HI,9.5784,13.5784,0.1916
21,8,IJ,12.0164,16.0164,0.1916
21,9,AF,5.1596,7.1596,0.1916
21,10,GB,5.7866,9.7866,0.1916
21,11,HC,5.6546,9.6546,0.1916
21,12,ID,5.7866,9.7866,0.1916
21,13,EJ,5.1596,7.1596,0.1916
21,14,FB,13.0622,17.0622,0.1916
21,15,GC,11.1899,15.1899,0.1916
21,16,IC,11.1899,15.1899,0.1916
21,17,JD,13.0622,17.0622,0.1916
22,1,AB,12.0,14.0,0.1967
22,2,BC,9.5043,13.5043,0.1967
22,3,CD,9.5043,13.5043,0.1967
22,4,DE,12.0,14.0,0.1967
22,5,FG,12.043,16.043,0.1967
22,6,GH,9.5058,13.5058,0.1967
22,7,HI,9.5058,13.5058,0.1967
22,8,IJ,12.043,16.043,0.1967
22,9,AF,4.4106,6.4106,0.1967
22,10,GB,5.4276,9.4276,0.1967
22,11,HC,5.5943,9.5943,0.1967
22,12,ID,5.4276,9.4276,0.1967
22,13,EJ,4.4106,6.4106,0.1967
22,14,FB,12.7849,16.7849,0.1967
22,15,GC,10.9449,14.9449,0.1967
22,16,IC,10.9449,14.9449,0.1967
22,17,JD,12.7849,16.7849,0.1967
23,1,AB,12.0,14.0,0.1967
23,2,BC,9.5043,13.5043,0.1967
23,3,CD,9.5043,13.5043,0.1967
23,4,DE,12.0,14.0,0.1967
23,5,FG,12.043,16.043,0.1967
23,6,GH,9.5058,13.5058,0.1967
23,7,HI,9.5058,13.5058,0.1967
23,8,IJ,12.043,16.043,0.1967
23,9,AF,4.4106,6.4106,0.1967
23,10,GB,5.4276,9.4276,0.1967
23,11,HC,5.5943,9.5943,0.1967
23,12,ID,5.4276,9.4276,0.1967
23,13,EJ,4.4106,6.4106,0.1967
23,14,FB,12.7849,16.7849,0.1967
23,15,GC,10.9449,14.9449,0.1967
23,16,IC,10.9449,14.9449,0.1967
23,17,JD,12.7849,16.7849,0.1967
24,1,AB,12.0,14.0,0.1967
24,2,BC,9.5043,13.5043,0.1967
24,3,CD,9.5043,13.5043,0.1967
24,4,DE,12.0,14.0,0.1967
24,5,FG,12.043,16.043,0.1967
24,6,GH,9.5058,13.5058,0.1967
24,7,HI,9.5058,13.5058,0.1967
24,8,IJ,12.043,16.043,0.1967
24,9,AF,4.4106,6.4106,0.1967
24,10,GB,5.4276,9.4276,0.1967
24,11,HC,5.5943,9.5943,0.1967
24,12,ID,5.4276,9.4276,0.1967
24,13,EJ,4.4106,6.4106,0.1967
24,14,FB,12.7849,16.7849,0.1967
24,15,GC,10.9449,14.9449,0.1967
24,16,IC,10.9449,14.9449,0.1967
24,17,JD,12.7849,16.7849,0.1967
25,1,AB,12.0,14.0,0.1967
25,2,BC,9.5043,13.5043,0.1967
25,3,CD,9.5043,13.5043,0.1967
25,4,DE,12.0,14.0,0.1967
25,5,FG,12.043,16.043,0.1967
25,6,GH,9.5058,13.5058,0.1967
25,7,HI,9.5058,13.5058,0.1967
25,8,IJ,12.043,16.043,0.1967
25,9,AF,4.4106,6.4106,0.1967
25,10,GB,5.4276,9.4276,0.1967
25,11,HC,5.5943,9.5943,0.1967
25,12,ID,5.4276,9.4276,0.1967
25,13,EJ,4.4106,6.4106,0.1967
